1-01-01-40-a,1-01-01-40,STO / PLASA KUTA CANE,"JL. AHMAD YANI, NO. 62, DESA KUTA CANE, KEC. BABUSSALAM, KAB. ACEH TENGGARA",a,"3.487428,97.811061",GEDUNG PERANGKAT STO,KAB. ACEH TENGGARA,,
1-01-01-40-b,1-01-01-40,STO / PLASA KUTA CANE,"JL. AHMAD YANI, NO. 62, DESA KUTA CANE, KEC. BABUSSALAM, KAB. ACEH TENGGARA",b,"3.487428,97.811061",GEDUNG PLASA,KAB. ACEH TENGGARA,,
1-01-01-41-a,1-01-01-41,STO / PLASA PEUREULAK,"JL. MEDAN - BANDA ACEH, DS. LEUGE, PEUREULAK, KAB. ACEH TIMUR",a,"4.809072,97.894639",GEDUNG PERANGKAT STO,KAB. ACEH TIMUR,,
1-01-01-41-b,1-01-01-41,STO / PLASA SIMPANG ULIM,"JL. MEDAN - BANDA ACEH, DS. LEUGE, PEUREULAK, KAB. ACEH TIMUR",b,"4.809072,97.894639",GEDUNG PERANGKAT STO,KAB. ACEH TIMUR,,
1-01-01-42-a,1-01-01-42,STO / PLASA SIMPANG ULIM,"Jl. Medan - Banda Aceh, Simpang Ulim, Kabupaten Aceh Timur, Aceh, Indonesia",a,"5.09685,97.537831",,KAB. ACEH TIMUR,,
1-01-01-43-a,1-01-01-43,STO LANGSA,"JL. ACEH KONGSI NO.1, DESA BLANG PASEH, LANGSA KOTA",a,"4.473439,97.965921",GEDUNG PERANGKAT STO,KOTA LANGSA,,
1-01-01-43-b,1-01-01-43,PLASA LANGSA,"JL. ACEH KONGSI NO.1, DESA BLANG PASEH, LANGSA KOTA",b,"4.473439,97.965921",GEDUNG PLASA,KOTA BANDA ACEH,,
1-01-01-44-a,1-01-01-44,BOT BRANCH TELKOMSEL,JL. DAUD BEREUH,a,"5.559278,95.324595",GEDUNG PERKANTORAN,KOTA BANDA ACEH,,
1-01-01-25-c,1-01-01-25,KSU BRANCH TELKOMSEL,"JL. MERDEKA BARAT NO.1, DESA LANCANG GARAM, LHOKSEUMAWE KOTA",c,"5.179953,97.146272",GEDUNG PERKANTORAN,KOTA LHOKSEUMAWE,,
1-02-02-01-a,1-02-02-01,STO BENGKULU,"JL PROF SOEPRAPTO NO. 132,  BENGKULU KOTA",a,"-4.450265,102.968127",GEDUNG PERANGKAT STO,KOTA BENGKULU,,
1-02-02-01-b,1-02-02-01,KANTOR WITEL BENGKULU,"JL PROF SOEPRAPTO NO. 132,  BENGKULU KOTA",b,"-4.450265,102.968127",GEDUNG PERKANTORAN,KOTA BENGKULU,,
1-02-02-02-a,1-02-02-02,STO ARGA MAKMUR,"JL. M. YAMIN NO. 25, ARGA MAKMUR, KAB. BENGKULU UTARA",a,"-3.439204,102.194077",GEDUNG PERANGKAT STO,KAB. BENGKULU UTARA,,
1-02-02-02-b,1-02-02-02,PLASA ARGA MAKMUR,"JL. M. YAMIN NO. 25, ARGA MAKMUR, KAB. BENGKULU UTARA",b,"-3.439204,102.194077",GEDUNG PLASA,KAB. BENGKULU UTARA,,
1-02-02-03-a,1-02-02-03,PLASA BINTUHAN,"JL. JEMBATAN II, KEL. JEMBATAN II, KAB. KAUR",a,"-4.791476,103.354117",GEDUNG PLASA,KAB. KAUR,,
1-02-02-04-a,1-02-02-04,PLASA KEPAHYANG,"JL. ABU HANIFAH NO. 1, KEL. PASAR KEPAHYANG, KAB. KEPAHYANG",a,"-3.646083,102.579528",GEDUNG PLASA,KAB. KEPAHIANG,,
1-02-02-05-a,1-02-02-05,PLASA MUARA AMAN,"JL. GAJAH MADA NO. 1, KEL. KAMPUNG JAWA, KEC. LEBONG UTARA, KAB. REJANG LEBONG",a,"-3.106208,102.196407",GEDUNG PLASA,KAB. REJANG LEBONG,,
1-02-02-06-a,1-02-02-06,PLASA MUKO MUKO,"JL. SUDIRMAN NO. 5, RT 01/01, KAB. MUKO MUKO",a,"-2.570082,101.112092",GEDUNG PLASA,KAB. MUKO MUKO,,
1-02-02-07-a,1-02-02-07,SBB BENGKULU,"JL. BASUKI RAHMAT, BENGKULU KOTA",a,"-3.790418,102.271162",GEDUNG PERKANTORAN,KOTA BENGKULU,,
1-02-02-08-a,1-02-02-08,STO / PLASA CURUP,"JL. KARTINI NO. 4, KEL. PASAR BARU, KEC. CURUP, KAB. REJANG LEBONG",a,"-3.466522,102.525104",GEDUNG PERANGKAT STO & PLASA,KAB. REJANG LEBONG,,
1-02-02-09-a,1-02-02-09,STO IPUH,"JL. RAYA MEDAN JAYA, KEC. IPUH, KAB. MUKO MUKO",a,"-3.000975,101.491987",GEDUNG PERANGKAT STO,KAB. MUKO MUKO,,
1-02-02-10-a,1-02-02-10,STO MANNA,"JL. LETNAN SULIK NO. 1, KEC. KOTA MANNA, KAB. BENGKULU SELATAN",a,"-4.4494,102.923837",GEDUNG PERANGKAT STO,KAB. BENGKULU SELATAN,,
1-02-02-10-b,1-02-02-10,PLASA MANNA,"JL. LETNAN SULIK NO. 1, KEC. KOTA MANNA, KAB. BENGKULU SELATAN",b,"-4.4494,102.923837",GEDUNG PLASA,KAB. BENGKULU SELATAN,,
1-02-02-11-a,1-02-02-11,STO PAGAR DEWA,"JL. DEPATI PAYUNG NEGARA NO. 12, KEL. PAGAR DEWA, BENGKULU KOTA",a,"-3.843651,102.321782",GEDUNG PERANGKAT STO,KOTA BENGKULU,,
1-02-02-11-b,1-02-02-11,STO PAGAR DEWA,"JL. DEPATI PAYUNG NEGARA NO. 12, KEL. PAGAR DEWA, BENGKULU KOTA",b,"-3.843651,102.321782",GEDUNG PERKANTORAN,KOTA BENGKULU,,
1-02-02-12-a,1-02-02-12,STO TAIS,"JL. MERDEKA NO. 2, KEL. PASAR TAIS, KAB. SELUMA",a,"-4.07718,102.576859",GEDUNG PERANGKAT STO,KAB. SELUMA,,
1-02-02-13-a,1-02-02-13,TELKOM KETAHUN,Jl.  DESA GIRI KENCANA,a,"-3.361506,101.837985",GEDUNG PERANGKAT STO,KAB. BENGKULU UTARA,,
1-02-02-01-c,1-02-02-01,BOT BRANCH TELKOMSEL,"JL PROF SOEPRAPTO NO. 132,  BENGKULU KOTA",c,"-4.450265,102.968127",GEDUNG PERKANTORAN,KOTA BENGKULU,,
1-03-03-01-a,1-03-03-01,JAMBI CENTRUM,"JL. RADEN MATTAHER NO. 8, KEL. PASAR JAMBI, JAMBI KOTA",a,"-1.593017,103.617751",GEDUNG PERANGKAT STO,KOTA JAMBI,,
1-03-03-01-b,1-03-03-01,YAN JAMBI,"JL. RADEN MATTAHER NO. 8, KEL. PASAR JAMBI, JAMBI KOTA",b,"-1.593017,103.617751",GEDUNG PLASA,KOTA JAMBI,,
1-03-03-02-a,1-03-03-02,KANTOR WITEL JAMBI,"JL PROF. SUMANTRI BOJONEGORO NO. 54, TELANAI PURA, JAMBI KOTA",a,"-1.606264,103.59957",GEDUNG PERKANTORAN,KOTA JAMBI,,
1-03-03-03-a,1-03-03-03,STO / PLASA BULIAN,"JL. PRAMUKA NO. 1, KAB. BATANG HARI",a,"-1.716571,103.261893",GEDUNG PERANGKAT STO & PLASA,KAB. BATANG HARI,,
1-03-03-04-a,1-03-03-04,STO / PLASA KUALA TUNGKAL,"JL. PELABUHAN, KUALA TUNGKAL, KAB. TANJUNG JABUNG",a,"-0.812930,103.466029",GEDUNG PERANGKAT STO,KAB. TANJUNG JABUNG TIMUR,,
1-03-03-05-a,1-03-03-05,STO / PLASA TEBING TINGGI,"JL. PIJOAN BARU NO. 9, TEBING TINGGI, KAB. TANJUNG JABUNG BARAT",a,"-1.177848,103.142579",GEDUNG PERANGKAT STO & PLASA,KAB. TANJUNG JABUNG BARAT,,
1-03-03-06-a,1-03-03-06,STO PASIR PUTIH,"JL. PASIR PUTIH, JAMBI KOTA",a,"-1.621508,103.634328",GEDUNG PERANGKAT STO,KOTA JAMBI,,
1-03-03-07-a,1-03-03-07,STO KOTA BARU,"JL. BASUKI RAHMAT NO. 2, DS PAAL LIMA, JAMBI KOTA",a,"-1.631684,103.606208",GEDUNG PERANGKAT STO,KOTA JAMBI,,
1-03-03-08-a,1-03-03-08,STO MENDALO,"JL. LINTAS JAMBI - BULIAN KM. 13, KEL. MENDALO DARAT, KEC. JALUKO, KAB. MUARA JAMBI",a,"-1.620167,103.531387",GEDUNG PERANGKAT STO,KAB. MUARO JAMBI,,
1-03-03-09-a,1-03-03-09,STO TELANAIPURA,"JL. YUSUF SINGADIKANE NO. 04, KEL. SUNGAI PUTRI, KEC. TELANAI PURA, JAMBI KOTA",a,"-1.606754,103.590039",GEDUNG PERANGKAT STO,KOTA JAMBI,,
1-03-03-10-a,1-03-03-10,STO MUARA SABAK,"JL. P. DIPONOGORO, KOMP. PERKANTORAN BUKIT MENDERANG, MUARA SABAK",a,"-1.207589,103.792148",GEDUNG PERANGKAT STO,KAB. TANJUNG JABUNG TIMUR,,
1-03-03-11-a,1-03-03-11,STO / PLASA BANGKO,"JL. KESEHATAN, KEL. PEMATANG KANDIS, KAB. MERANGIN",a,"-2.064361, 102.275118",GEDUNG PLASA,KAB. MERANGIN,,
1-03-03-12-a,1-03-03-12,DATEL MUARA BUNGO,"JL. IMAM MONJOL NO. 1, MUARA BUNGO",a,"-1.497667,102.117717",GEDUNG PLASA,KAB. TEBO,,
1-03-03-13-a,1-03-03-13,PLASA RIMBO BUJANG,"JL. KH.DEWANTARA, KEL. WIROTO AGUNG, KAB. TEBO",a,"-1.311646,102.106439",GEDUNG PLASA,KAB. TEBO,,
1-03-03-14-a,1-03-03-14,PLASA SAROLANGUN,"JL. BUKIT JINAM, KEL. PASAR SAROLANGUN, KAB. SAROLANGUN",a,"-2.303220,102.723579",GEDUNG PLASA,KAB. SAROLANGUN,,
1-03-03-15-a,1-03-03-15,STO / PLASA MUARA TEBO,"JL. TEBO - BUNGO KM. 01, KEL. SUMBER SARI, KEC. TEBO TENGAH, KAB. TEBO",a,"-1.478903,102.441743",GEDUNG PERANGKAT STO & PLASA,KAB. TEBO,,
1-03-03-16-a,1-03-03-16,STO / PLASA SINGKUT,"JL. SINGKUT I, KEL. SEI BENTENG, KEC. SINGKUT, KAB. SAROLANGUN",a,"-2.505457,102.705574",GEDUNG PERANGKAT STO & PLASA,KAB. SAROLANGUN,,
1-03-03-17-a,1-03-03-17,STO SUNGAI PENUH,"JL. IMAM BONJOL, KEL. PONDOK TINGGI, KEC. SUNGAI PENUH, SUNGAI PENUH KOTA",a,"-2.064353,101.39438",GEDUNG PERANGKAT STO,KOTA SUNGAI PENUH,,
1-03-03-17-b,1-03-03-17,PLASA SUNGAI PENUH,"JL. IMAM BONJOL, KEL. PONDOK TINGGI, KEC. SUNGAI PENUH, SUNGAI PENUH KOTA",b,"-2.064353,101.39438",GEDUNG PLASA,KOTA SUNGAI PENUH,,
1-03-03-19-a,1-03-03-19,RKB EKS RUMAH DINAS,JL. KARYA BAKTI JAMBI,a,"-2.075576,101.400914",GEDUNG PLASA,KOTA JAMBI,,
1-03-03-09-b,1-03-03-09,BOT BRANCH TELKOMSEL,"JL. YUSUF SINGADIKANE NO. 04, KEL. SUNGAI PUTRI, KEC. TELANAI PURA, JAMBI KOTA",b,"-1.606754,103.590039",GEDUNG PERKANTORAN,KOTA JAMBI,,
1-04-04-01-a,1-04-04-01,BROADBAND PANGKAL PINANG,"JL. JEND. SUDIRMAN, PANGKAL PINANG KOTA",a,"-2.11794750324644,106.112457364797",GEDUNG PERANGKAT STO,KOTA PANGKAL PINANG,,
1-04-04-02-a,1-04-04-02,KANTOR WITEL BABEL,"JL. RUSTAM EFFENDI NO, 3, PANGKAL PINANG KOTA",a,"-2.121819,106.112999",GEDUNG PERKANTORAN,KOTA PANGKAL PINANG,,
1-04-04-03-a,1-04-04-03,STO / PLASA KOBA,"JL. PADANG MULIA, KOBA, KAB. BANGKA TENGAH",a,"-2.48408676416666,106.418526917696",GEDUNG PERANGKAT STO,KAB. BANGKA TENGAH,,
1-04-04-04-a,1-04-04-04,STO / PLASA MANGGAR,"JL. MODONG, DS. LALANG, KAB. BELITUNG",a,"-2.87405514648127,108.274047821541",GEDUNG PERANGKAT STO,KAB. BELITUNG,,
1-04-04-05-a,1-04-04-05,STO / PLASA MENTOK,"JL. KAPT. ALIZEN, MENTOK, KAB. BANGKA BARAT",a,"-2.0540036,105.167097",GEDUNG PERANGKAT STO,KAB. BANGKA BARAT,,
1-04-04-05-b,1-04-04-05,STO / PLASA MENTOK,"JL. KAPT. ALIZEN, MENTOK, KAB. BANGKA BARAT",b,"-2.0540036,105.167097",GEDUNG PLASA,KAB. BANGKA BARAT,,
1-04-04-06-a,1-04-04-06,STO / PLASA TANJUNG PANDAN,"JL. PANTAI II, TANJUNG PANDAN, KAB. BELITUNG",a,"-2.744786,107.636832",GEDUNG PERANGKAT STO,KAB. BELITUNG,,
1-04-04-07-a,1-04-04-07,STO / PLASA TOBOALI,"JL. JEND. SUDIRMAN, TOBOALI, KAB. BANGKA SELATAN",a,"-3.00614847399997,106.46248832345",GEDUNG PERANGKAT STO,KAB. BANGKA SELATAN,,
1-04-04-07-b,1-04-04-07,STO / PLASA TOBOALI,"JL. JEND. SUDIRMAN, TOBOALI, KAB. BANGKA SELATAN",b,"-3.00614847399997,106.46248832345",GEDUNG PLASA,KAB. BANGKA SELATAN,,
1-04-04-08-a,1-04-04-08,STO SUNGAILIAT,"JL. SAM RATULANGI NO. 1, KEL. SRIMENANTI, KAB. BANGKA",a,"-1.863133,106.106669",GEDUNG PERANGKAT STO,KAB. BANGKA,,
1-04-04-08-b,1-04-04-08,STO/ PLASA SUNGAI LIAT,"JL.SAM RATULANGI, SRI MENANTI, KAB. BANGKA",b,"-1.863133,106.106669",GEDUNG PERANGKAT STO,KAB. BANGKA,,
1-04-04-09-a,1-04-04-09,UPP DIPONEGORO,"JL. DIPONEGORO, PANGKAL PINANG KOTA",a,"-2.121819,106.112999",GEDUNG PERKANTORAN,KOTA PANGKAL PINANG,,
1-04-04-10-a,1-04-04-10,UPP PALAPA,"JL. PALAPA, PANGKAL PINANG KOTA",a,"-2.121819,106.112999",GEDUNG PERKANTORAN,KOTA PANGKAL PINANG,,
1-04-04-10-b,1-04-04-10,UPP PALAPA,"JL. PALAPA, PANGKAL PINANG KOTA",b,"-2.121819,106.112999",GEDUNG PERKANTORAN ,KOTA PANGKAL PINANG,,
1-04-04-11-a,1-04-04-11,STO JEBUS,JL. BUKIT LINTANG KEC. JEBUS KEL. PUPUT,a,"-1.6702596,105.5059845",GEDUNG PERANGKAT STO,KAB. BANGKA BARAT,,
1-04-04-12-a,1-04-04-12,STO TEMPILANG,JL. TELKOM RT 02 RW 03 KEC. TEMPILANG KEL. AIR LINTANG,a,"-2.104839,105.668410",GEDUNG PERANGKAT STO,KAB. BANGKA BARAT,,
1-04-04-13-a,1-04-04-13,STO BELINYU,JL. KARTINI NO.1 KEC. BELINYU KEL. KUNTO AJI,a,"-1.6359354,105.7685509",GEDUNG PERANGKAT STO,KAB. BANGKA,,
1-05-05-01-a,1-05-05-01,KANTOR WITEL RIKEP,"JL. JAKSA AGUNG R. SOEPRAPTO, SEKUPANG, BATAM KOTA",a,"1.113123,103.949872",GEDUNG PERKANTORAN,KOTA BATAM,,
1-05-05-02-a,1-05-05-02,PLASA PELITA,"JL. TEUKU UMAR NO. 1, KEL. PELITA, BATAM KOTA",a,"1.145269,104.017602",GEDUNG PLASA,KOTA BATAM,,
